Rank,Rating,Team
1,5.922748544084055,Alabama
2,4.0065854900869065,Michigan
3,3.7427855311455898,Ohio State
4,2.9539976762053626,Washington
5,2.6656172641627314,Clemson
6,2.5189931623194903,Wisconsin
7,2.352810796275504,Penn State
8,2.3381593161045715,North Dakota State
9,2.332425091376556,Colorado
10,2.168678824349448,Southern California
11,2.13593133900498,Eastern Washington
12,2.134841114704175,Iowa
13,2.059860953286085,Auburn
14,1.993535916404648,Washington State
15,1.9854137625165125,Florida State
16,1.946901394836654,Louisiana State
17,1.8544863232826407,Louisville
18,1.8540963692484953,Illinois State
19,1.8486994754447743,Florida
20,1.8217909089902908,Oklahoma
21,1.8073488295877247,Virginia Tech
22,1.7665974020040351,Texas A&M
23,1.7511725150302118,Stanford
24,1.7359169318694796,Miami (FL)
25,1.7028948218507027,Temple
26,1.6047593609459838,Western Michigan
27,1.5786418826719244,West Virginia
28,1.5646523832392496,Utah
29,1.4901041162140978,Nebraska
30,1.4802414040864726,Brigham Young
31,1.4738405844636022,Memphis
32,1.442074953859941,Northwestern
33,1.4360157625879495,Pittsburgh
34,1.421359600870221,Kansas State
35,1.4149327547861235,Tennessee
36,1.4067361234112064,Minnesota
37,1.4058001227935313,Oklahoma State
38,1.3888308935511384,Houston
39,1.3712849019906872,Mississippi
40,1.3669935253781962,Richmond
41,1.304909171382632,Appalachian State
42,1.3010793886992669,South Florida
43,1.295985068485423,San Diego State
44,1.290816018294457,North Carolina
45,1.2799234860755155,Western Kentucky
46,1.2686101389000435,Boise State
47,1.255914833501935,North Carolina State
48,1.2470916439895483,Georgia Tech
49,1.2412448157246794,California
50,1.2277617537356618,Central Florida
51,1.2217784605304696,Arkansas
52,1.2133869566199504,Oregon
53,1.1928213759369273,Notre Dame
54,1.1849752518512033,Toledo
55,1.1488746700177992,UCLA
56,1.1455588284376899,Texas Christian
57,1.1441540424670866,Northern Iowa
58,1.1402857168958405,Michigan State
59,1.1327559977344144,Baylor
60,1.1298460963782422,Mississippi State
61,1.1293846914956316,Georgia
62,1.128508072100534,Texas
63,1.1249548855033538,Oregon State
64,1.0622153760266537,Tulsa
65,1.0579170647286014,Indiana
66,1.02615404704119,Arizona State
67,1.0228984297743047,Colorado State
68,1.0210862212538019,Western Illinois
69,1.0161359820578353,Central Arkansas
70,0.9940342984433456,Texas Tech
71,0.990736796850187,Kentucky
72,0.9798745424506864,Vanderbilt
73,0.9711552722685124,Navy
74,0.9368292234713925,Duke
75,0.9272280705765163,Maryland
76,0.9162558885854045,Wake Forest
77,0.9153232339736693,Iowa State
78,0.9056779927081127,Wyoming
79,0.9008786519492056,Troy
80,0.8951009891845901,Air Force
81,0.8724073562134318,Youngstown State
82,0.8654231731579092,Boston College
83,0.850976841811697,Arizona
84,0.847969791212546,Louisiana Tech
85,0.8387493960299086,Northern Illinois
86,0.8346831281189357,Arkansas State
87,0.8272087491340703,Samford
88,0.8251642665526829,Missouri
89,0.8185292849438137,Ohio
90,0.7960663045075471,South Dakota State
91,0.7823101314550542,Eastern Illinois
92,0.7694437351245488,Nicholls State
93,0.7520862926664742,South Carolina
94,0.7468309311642213,Syracuse
95,0.7444034744963679,Jacksonville State
96,0.7398969350473434,Old Dominion
97,0.738915419123349,Virginia
98,0.715865426739464,Southeast Missouri State
99,0.7030336414725681,East Carolina
100,0.6894646496574884,Southern Methodist
101,0.6869614279979261,Eastern Michigan
102,0.6824748603668069,Georgia Southern
103,0.6803946705557209,New Mexico
104,0.6791139906123066,Indiana State
105,0.6788844963132891,Central Michigan
106,0.6700524995718208,Purdue
107,0.656009821851134,Texas-San Antonio
108,0.6485630656804762,Army
109,0.6477994609062333,Idaho
110,0.6454080091472285,James Madison
111,0.635969826968786,Illinois
112,0.6334824787378068,Southern Mississippi
113,0.6332986778445675,Miami (OH)
114,0.6191785707249404,Middle Tennessee State
115,0.6140808339988033,Utah State
116,0.6042991842834675,Louisiana-Lafayette
117,0.5837648255876277,South Alabama
118,0.5764681831627625,Grambling State
119,0.5731692139436182,Chattanooga
120,0.570403877439427,Ball State
121,0.5564958254130612,Cincinnati
122,0.5537143078781682,Tulane
123,0.5506295417702982,Montana State
